bucket_start,total_loans,defaults,default_rate
,4,0,0.0
5.31,439,4,0.91
5.32,2346,51,2.17
5.42,29,3,10.34
5.79,21,1,4.76
5.93,98,4,4.08
5.99,18,0,0.0
6.0,32,3,9.38
6.03,547,15,2.74
6.07,254,1,0.39
6.08,283,0,0.0
6.11,642,0,0.0
6.17,10,1,10.0
6.19,165,1,0.61
6.24,404,13,3.22
6.39,146,3,2.05
6.46,213,0,0.0
6.49,600,44,7.33
6.54,11,1,9.09
6.62,287,10,3.48
6.67,502,0,0.0
6.68,116,7,6.03
6.71,280,2,0.71
6.72,339,3,0.88
6.76,10,3,30.0
6.83,190,1,0.53
6.89,355,17,4.79
6.91,13,1,7.69
6.92,185,10,5.41
6.97,258,16,6.2
6.99,530,12,2.26
7.02,145,0,0.0
7.07,381,8,2.1
7.12,160,2,1.25
7.14,16,0,0.0
7.21,872,10,1.15
7.24,293,9,3.07
7.26,448,36,8.04
7.29,17,1,5.88
7.34,310,6,1.94
7.35,703,14,1.99
7.39,448,23,5.13
7.4,2,0,0.0
7.43,1,0,0.0
7.46,219,3,1.37
7.49,519,24,4.62
7.51,43,3,6.98
7.56,153,0,0.0
7.59,101,2,1.98
7.62,320,15,4.69
7.66,11,0,0.0
7.68,7,1,14.29
7.69,245,20,8.16
7.74,7,0,0.0
7.75,1,0,0.0
7.84,580,0,0.0
7.88,35,2,5.71
7.89,1370,116,8.47
7.9,480,28,5.83
7.91,107,10,9.35
7.96,224,2,0.89
7.97,909,27,2.97
7.99,476,25,5.25
8.0,10,1,10.0
8.08,180,1,0.56
8.18,873,77,8.82
8.19,465,21,4.52
8.24,752,38,5.05
8.32,2,0,0.0
8.38,84,2,2.38
8.39,784,63,8.04
8.46,530,2,0.38
8.49,154,14,9.09
8.59,205,21,10.24
8.6,24,2,8.33
8.63,4,0,0.0
8.67,185,25,13.51
8.81,226,0,0.0
8.88,4,0,0.0
8.9,556,42,7.55
8.94,10,0,0.0
8.99,348,24,6.9
9.16,493,50,10.14
9.17,1414,147,10.4
9.25,35,3,8.57
9.32,10,1,10.0
9.33,1,0,0.0
9.43,350,7,2.0
9.44,1112,33,2.97
9.45,1,0,0.0
9.49,559,47,8.41
9.51,1,0,0.0
9.58,227,3,1.32
9.62,10,1,10.0
9.63,28,1,3.57
9.64,1,0,0.0
9.67,256,28,10.94
9.7,1,0,0.0
9.71,100,4,4.0
9.75,615,88,14.31
9.76,156,16,10.26
9.8,134,16,11.94
9.88,5,0,0.0
9.91,22,5,22.73
9.92,319,5,1.57
9.93,1112,36,3.24
9.96,3,1,33.33
9.99,1030,122,11.84
10.0,16,5,31.25
10.01,1,0,0.0
10.07,209,0,0.0
10.08,490,2,0.41
10.14,1,0,0.0
10.15,335,34,10.15
10.16,198,24,12.12
10.25,12,1,8.33
10.28,1,0,0.0
10.33,186,0,0.0
10.36,11,1,9.09
10.37,19,4,21.05
10.38,12,2,16.67
10.39,1,0,0.0
10.41,199,6,3.02
10.42,1143,57,4.99
10.47,539,1,0.19
10.49,1067,86,8.06
10.51,2,0,0.0
10.56,153,4,2.61
10.59,18,1,5.56
10.62,11,0,0.0
10.64,276,39,14.13
10.65,24,0,0.0
10.71,4,0,0.0
10.72,212,0,0.0
10.74,66,4,6.06
