interest_rate_bucket,total_loans,defaults,default_rate
31.0,350,98,28.0
30.0,188,42,22.34
29.0,250,79,31.6
28.0,86,43,50.0
27.0,350,84,24.0
26.0,962,258,26.82
25.0,1016,255,25.1
24.0,920,233,25.33
23.0,931,244,26.21
22.0,1364,322,23.61
21.0,1958,448,22.88
20.0,2876,628,21.84
19.0,3486,758,21.74
18.0,5115,1129,22.07
17.0,4487,869,19.37
16.0,6700,1070,15.97
15.0,6068,828,13.65
14.0,10997,1378,12.53
13.0,10315,1299,12.59
12.0,7870,873,11.09
11.0,9985,894,8.95
10.0,8460,549,6.49
9.0,5537,402,7.26
8.0,8903,470,5.28
7.0,7610,219,2.88
6.0,3433,86,2.51
5.0,2814,58,2.06
,4,0,0.0
